horizon,max_allowed_fpr,threshold,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
T+1,0.05,0.75,0.4991408934707904,0.9357429718875502,0.29125,0.444232602478551,0.04395604395604396,348,16,567,233
T+1,0.1,0.7000000000000001,0.5695876288659794,0.9073569482288828,0.41625,0.570694087403599,0.09340659340659341,330,34,467,333
T+1,0.2,0.6,0.6898625429553265,0.8804159445407279,0.635,0.7378358750907771,0.18956043956043955,295,69,292,508
T+2,0.05,0.74,0.48711340206185566,0.9330543933054394,0.277363184079602,0.4276126558005753,0.044444444444444446,344,16,581,223
T+2,0.1,0.6900000000000001,0.5747422680412371,0.9076517150395779,0.42786069651741293,0.5815722738799662,0.09722222222222222,325,35,460,344
T+2,0.2,0.62,0.6872852233676976,0.8832752613240418,0.6305970149253731,0.7358490566037735,0.18611111111111112,293,67,297,507
T+3,0.05,0.72,0.49312714776632305,0.9354838709677419,0.2878411910669975,0.44022770398481975,0.0446927374301676,342,16,574,232
T+3,0.1,0.68,0.5764604810996563,0.9129287598944591,0.4292803970223325,0.5839662447257384,0.09217877094972067,325,33,460,346
T+3,0.2,0.62,0.6881443298969072,0.8865619546247818,0.630272952853598,0.7367657722987673,0.18156424581005587,293,65,298,508
